#CODE;RUSSIAN;x
#nick_the_young_prince;Юный Принц;x
#nick_the_even_younger_prince;Совсем Юный Принц;x
#nick_sweetrobin;Зяблик;x
nick_the_tongueless_king;Король Без Языка;x
nick_the_tongueless_queen;Королева Без Языка;x
nick_tolands_mad_fool;Безумный Дурак;x
nick_the_corpse_maker;Труподел;x
#nick_of_the_mirror_shield;Зеркальный Щит;x
nick_the_knight_without_armor;Рыцарь без Доспехов;x
#nick_the_dragonslayer;Драконоборец;x
#nick_star_eyes;Звездоглазый;x
nick_rainbow_knight;Радужный Рыцарь;x
nick_the_fool;Шут;x
nick_kinslayer;Родоубийца;x
nick_sevenstar;Семь Звезд;x
nick_witch_queen;Королева-Ведьма;x
#nick_the_anvil;Наковальня;x
#nick_the_realms_delight;Отрада Королевства;x
#nick_the_rogue_prince;Порочный Принц;x
#nick_demon_of_the_trident;Демон Трезубца;x
#nick_ser_horror;Ужас;x
#nick_ser_slobber;Слюнтяй;x
nick_the_fiddler;Скрипач;x
nick_the_betrayer;Предатель;x
