#CODE;NAME;x
#CODE_desc;DESCRIPTION;x

show_mnm_jade;(SCMR)Показать расширенное чит-меню;x
show_mnm_jade_desc;Показать расширенное чит-меню;x

hide_mnm_jade;(SCMR) Скрыть расширенное чит-меню;x
hide_mnm_jade_desc;Скрыть расширенное чит-меню;x

show_interaction;(SCMR) Показать взаимодействия;x
show_interaction_desc;Показать взаимодействия;x

hide_interaction;(SCMR) Скрыть взаимодействия;x
hide_interaction_desc;Скрыть взаимодействия;x

show_jd_status;(SCMR) Показать статус;x
show_jd_status_desc;Показать статус;x

hide_jd_status;(SCMR) Скрыть статус;x
hide_jd_status_desc;Скрыть статус;x

show_emp_status;(SCMR) Показать настроения;x
show_emp_status_desc;Показать настроения;x

hide_emp_status;(SCMR) Скрыть настроения;x
hide_emp_status_desc;Скрыть настроения;x

show_forge_blood;(SCMR) Показать родословные по амбиции;x
show_forge_blood_desc;Показать родословные по амбиции;x

hide_forge_blood;(SCMR) Скрыть родословные по амбиции;x
hide_forge_blood_desc;Скрыть родословные по амбиции;x

show_event_blood;(SCMR) Показать родословные по событиям;x
show_event_blood_desc;Показать родословные по событиям;x

hide_event_blood;(SCMR) Скрыть родословные по событиям;x
hide_event_blood_desc;Скрыть родословные по событиям;x

show_special_blood;(SCMR) Показать особые родословные;x
show_special_blood_desc;Показать особые родословные;x

hide_special_blood;(SCMR) Скрыть особые родословные;x
hide_special_blood_desc;Скрыть особые родословные;x


scmr_leader;(SCMR) Стать главой общества;x
scmr_leader_desc;Стать главой общества;x

scmr_leave;(SCMR) Выйти из общества;x
scmr_leave_desc;Выйти из общества;x

scmr_rank_up;(SCMR) Поднять ранг;x
scmr_rank_up_desc;Поднять ранг;x

scmr_rank_down;(SCMR) Опустить ранг;x
scmr_rank_down_desc;Опустить ранг;x

scmr_write_up;(SCMR) Повысить качество книги;x
scmr_write_up_desc;Шанс написать хорошую книгу повысится;x

scmr_write_down;(SCMR) Понизить качество книги;x
scmr_write_down_desc;Шанс написать хорошую книгу понизится;x

scmr_society_currency;(SCMR) Добавить 500 [Root.Society.GetCurrency];x
scmr_society_currency_desc;Добавить 500 [Root.Society.GetCurrency];x

scmr_write_again;(SCMR) Снова написать книгу;x
scmr_write_again_desc;Снова написать книгу;x

scmr_jd_currency;(SCMR) Добавить 500 милости;x
scmr_jd_currency_desc;Добавить 500 милости;x

scmr_jd_set_currency;(SCMR) Поставить милость на 5K;x
scmr_jd_set_currency_desc;Поставить милость на пять тысяч;x

scmr_jd_clear;(SCMR) Взаимодействовать с императором;x
scmr_jd_clear_desc;Снова взаимодействовать с китайским императором;x

mc_leave;(SCMR) Контроль разума: Выйти из общества;x
mc_leave_desc;Выйти из общества;x

mc_leader;(SCMR) Контроль разума: Стать главой общества;x
mc_leader_desc;Стать главой общества;x

mc_rank_up;(SCMR) Контроль разума: Поднять ранг;x
mc_rank_up_desc;Поднять ранг;x

mc_rank_down;(SCMR) Контроль разума: Опустить ранг;x
mc_rank_down_desc;Опустить ранг;x

mc_society_currency;(SCMR) Контроль разума: Добавить 500 очков общества;x
mc_society_currency_desc;Добавить 500 очков общества;x

mc_jd_currency;(SCMR) Контроль разума: Добавить 500 Милости;x
mc_jd_currency_desc;Добавить 500 Милости;x

mc_jd_set_currency;(SCMR) Контроль разума: Поставить милость на 5K;x
mc_jd_set_currency_desc;Поставить милость на пять тысяч;x

mc_jd_clear;(SCMR) Контроль разума: Взаимодействовать с императором;x
mc_jd_clear_desc;Взятый под ваш контроль персонаж может снова взаимодействовать с китайским императором;x

scmr_jd_open;--------China Policy: Open;x
scmr_jd_open_desc;China Policy: Open;x

scmr_jd_isolationist;--------China Policy: Isolationist;x
scmr_jd_isolationist_desc;China Policy: Isolationist;x

scmr_jd_expansionist;--------China Policy: Expansionist;x
scmr_jd_expansionist_desc;China Policy: Expansionist;x

scmr_jd_stable;--------China Status: Stable;x
scmr_jd_stable_desc;China Status: Stable;x

scmr_jd_unrest;--------China Status: Unrest;x
scmr_jd_unrest_desc;China Status: Unrest;x

scmr_jd_civil_war;--------China Status : Civil War;x
scmr_jd_civil_war_desc;China Status: Civil War;x

scmr_jd_famine;--------China Status : Famine;x
