#CODE;NAME;x
#CODE_desc;DESCRIPTION;x


show_mnm_artifact;(SCMR) Показать меню артефактов;x
show_mnm_artifact_desc;Показать меню артефактов;x

hide_mnm_artifact;(SCMR) Скрыть меню артефактов;x
hide_mnm_artifact_desc;Скрыть меню артефактов;x

show_top_artifact_cmj;----Show TQ Abrahamism Artifacts;x
show_top_artifact_cmj_desc;Show top quality Abrahamism artifacts;x

hide_top_artifact_cmj;----Hide TQ Abrahamism Artifacts;x
hide_top_artifact_cmj_desc;Hide top quality Abrahamism artifacts;x

show_top_artifact_otr;----Show TQ Religious Artifacts;x
show_top_artifact_otr_desc;Show top quality religious artifacts;x

hide_top_artifact_otr;----Hide TQ Religious Artifacts;x
hide_top_artifact_otr_desc;Hide top quality religious artifacts;x

show_high_artifact_cmj;----Show HQ Religious Artifacts;x
show_high_artifact_cmj_desc;Show high quality religious artifacts;x

hide_high_artifact_cmj;----Hide HQ Religious Artifacts;x
hide_high_artifact_cmj_desc;Hide high quality religious artifacts;x

show_high_artifact_set;----Show Restricted Sets;x
show_high_artifact_set_desc;Show Restricted Sets;x

hide_high_artifact_set;----Hide Restricted Sets;x
hide_high_artifact_set_desc;Hide restricted sets;x

show_top_artifact_spc;----Show Special Artifacts;x
show_top_artifact_spc_desc;Show special artifacts;x

hide_top_artifact_spc;----Hide Special Artifacts;x
hide_top_artifact_spc_desc;Hide special artifacts;x

show_top_artifact_bok;----Show Monumental Works;x
show_top_artifact_bok_desc;Show monumental works;x

hide_top_artifact_bok;----Hide Monumental Works;x
hide_top_artifact_bok_desc;Hide monumental works;x

show_top_artifact_jd;----Show Chinese Artifacts;x
show_top_artifact_jd_desc;Show Chinese artifacts;x

hide_top_artifact_jd;----Hide Chinese Artifacts;x
hide_top_artifact_jd_desc;Hide Chinese artifacts;x

show_high_artifact_hf;----Show Holy Fury Artifacts;x
show_high_artifact_hf_desc;Show Holy Fury artifacts;x

hide_high_artifact_hf;----Hide Holy Fury Artifacts;x
hide_high_artifact_hf_desc;Hide Holy Fury artifacts;x

show_high_book_mil;----Show Military Books;x
show_high_book_mil_desc;Show military books;x

hide_high_book_mil;----Hide Military Books;x
hide_high_book_mil_desc;Hide military books;x

show_high_book_adm;----Show Administration Books;x
show_high_book_adm_desc;Show administration books;x

hide_high_book_adm;----Hide Administration Books;x
hide_high_book_adm_desc;Hide administration books;x

show_high_book_rel;----Show Religion Books;x
show_high_book_rel_desc;Show religion books;x

hide_high_book_rel;----Hide Religion Books;x
hide_high_book_rel_desc;Hide religion books;x

show_high_book_rls;----Show Relationship Books;x
show_high_book_rls_desc;Show relationship books;x

hide_high_book_rls;----Hide Relationship Books;x
hide_high_book_rls_desc;Hide relationship books;x

scmr_shroud_of_jesus;--------Get Shroud Of Jesus;x
scmr_shroud_of_jesus_desc;Get or create;x

scmr_spear_of_destiny;--------Get Spear Of Destiny;x
scmr_spear_of_destiny_desc;Get or create;x

scmr_holy_grail;--------Get Holy Grail(Fantasy);x
scmr_holy_grail_desc;Get or create;x

scmr_holy_chalice;--------Get Holy Chalice(Ordinary);x
scmr_holy_chalice_desc;Get or create;x

scmr_bones_of_st_peter;--------Get Bones Of St Peter;x
scmr_bones_of_st_peter_desc;Get or create;x

scmr_staff_of_moses;--------Get Staff Of Moses;x
scmr_staff_of_moses_desc;Get or create;x

scmr_davids_harp;--------Get Davids Harp;x
scmr_davids_harp_desc;Get or create;x

scmr_ark_of_the_covenant;--------Get Ark Of The Convenant;x
scmr_ark_of_the_covenant_desc;Get or create;x

scmr_holy_banner_of_mohammad;--------Get Holy Banner Of Mohanmmad;x
scmr_holy_banner_of_mohammad_desc;Get or create;x

scmr_seal_of_mohammad;--------Get Seal Of Mohanmmad;x
scmr_seal_of_mohammad_desc;Get or create;x

scmr_blessed_mantle;--------Get Blessed Mantle;x
scmr_blessed_mantle_desc;Get or create;x

scmr_cup_of_jamshid;--------Get Cup Of Jamshid;x
scmr_cup_of_jamshid_desc;Get or create;x

scmr_babr_e_bayan;--------Get Babr E Bayan;x
scmr_babr_e_bayan_desc;Get or create;x

scmr_andvaranaut;--------Get Andvaranaut;x
scmr_andvaranaut_desc;Get or create;x

scmr_mjolnir;--------Get Mjolnir;x
scmr_mjolnir_desc;Get or create;x

scmr_sampo;--------Get Sampo;x
scmr_sampo_desc;Get or create;x

scmr_fetish_of_souls;--------Get Fetish Of Souls;x
scmr_fetish_of_souls_desc;Get or create;x

scmr_axe_of_perun;--------Get Axe Of Perun;x
scmr_axe_of_perun_desc;Get or create;x

scmr_axe_of_perkunas;--------Get Axe Of Perkunas;x
scmr_axe_of_perkunas_desc;Get or create;x

scmr_yada_tashy;--------Get Yada Tashy;x
scmr_yada_tashy_desc;Get or create;x

scmr_buddhas_tooth;--------Get Buddhas Tooth;x
scmr_buddhas_tooth_desc;Get or create;x

scmr_mountain_of_light_diamond;--------Get Mountain Of Light Diamond;x
scmr_mountain_of_light_diamond_desc;Get or create;x

scmr_iron_crown_of_lombardy;--------Get Iron Crown Of Lombardy;x
scmr_iron_crown_of_lombardy_desc;Get or create;x

scmr_crown_of_thorns;--------Get Crown Of Thorns;x
scmr_crown_of_thorns_desc;Get or create;x

scmr_seamless_robe_of_jesus;--------Get Seamless Robe Of Jesus;x
scmr_seamless_robe_of_jesus_desc;Get or create;x

scmr_seal_of_solomon;--------Get Seal Of Solomon;x
scmr_seal_of_solomon_desc;Get or create;x

scmr_sword_of_mohammad;--------Get Sword Of Mohanmmad;x
scmr_sword_of_mohammad_desc;Get or create;x

scmr_blessed_sandals;--------Get Blessed Sandals;x
scmr_blessed_sandals_desc;Get or create;x

scmr_derafsh_kaviani;--------Get Derafsh Kaviani;x
scmr_derafsh_kaviani_desc;Get or create;x

