#CODE;NAME;x
#CODE_desc;DESCRIPTION;x

traits_enable;(SCMR) Показать меню черт;x
traits_enable_desc;Показать меню черт;x

traits_disable;(SCMR) Скрыть меню черт;x
traits_disable_desc;Скрыть меню черт;x

show_cheat_traits;(SCMR) Показать читерные черты;x
show_cheat_traits_desc;Показать читерные черты;x

hide_cheat_traits;(SCMR) Скрыть читерные черты;x
hide_cheat_traits_desc;Скрыть читерные черты;x

show_virtues;----Show Virtue Traits;x
show_virtues_desc;Show virtue traits;x

hide_virtues;----Hide Virtue Traits;x
hide_virtues_desc;Hide virtue traits;x

show_sins;----Show Sin Traits;x
show_sins_desc;Show sin traits;x

hide_sins;----Hide Sin Traits;x
hide_sins_desc;Hide sin traits;x

show_personality;----Show Personality Traits;x
show_personality_desc;Show personality traits;x

hide_personality;----Hide Personality Traits;x
hide_personality_desc;Hide personality traits;x

show_education;----Show Education Traits;x
show_education_desc;Show education traits;x

hide_education;----Hide Education Traits;x
hide_education_desc;Hide education traits;x

show_health;----Show Health Congenital Traits;x
show_health_desc;Show health congenital traits;x

hide_health;----Hide Health Congenital Traits;x
hide_health_desc;Hide health congenital traits;x

show_lifestyle;----Show Lifestyle Traits;x
show_lifestyle_desc;Show lifestyle traits;x

hide_lifestyle;----Hide Lifestyle Traits;x
hide_lifestyle_desc;Hide lifestyle traits;x

show_leadership;----Show Leadership Traits;x
show_leadership_desc;Show leadership traits;x

hide_leadership;----Hide Leadership Traits;x
hide_leadership_desc;Hide leadership traits;x

show_religion;----Show Religious Traits;x
show_religion_desc;Show religious traits;x

hide_religion;----Hide Religious Traits;x
hide_religion_desc;Hide religious traits;x

show_misc;----Show Misc. Traits;x
show_misc_desc;Show miscellaneous traits;x

hide_misc;----Hide Misc. Traits;x
hide_misc_desc;Hide miscellaneous traits;x

show_vassal;----Show Traits For Vassals;x
show_vassal_desc;Show traits for vassals;x

hide_vassal;----Hide Traits For Vassals;x
