#CODE;NAME;x
#CODE_mind_desc;DESCRIPTION;x


mind_traits_enable;(SCMR) Контроль разума: Показать меню черт;x
mind_traits_enable_desc;Показать меню черт;x

mind_traits_disable;(SCMR) Контроль разума: Скрыть меню черт;x
mind_traits_disable_desc;Скрыть меню черт;x

show_cheat_traits_mind;(SCMR) Контроль разума: Показать читерные черты;x
show_cheat_traits_mind_desc;Показать читерные черты;x

hide_cheat_traits_mind;(SCMR) Контроль разума: Скрыть читерные черты;x
hide_cheat_traits_mind_desc;Скрыть читерные черты;x

show_virtues_mind;----MC: Show Virtue Traits;x
show_virtues_mind_desc;MC: Show virtue traits;x

hide_virtues_mind;----MC: Hide Virtue Traits;x
hide_virtues_mind_desc;MC: Hide virtue traits;x

show_sins_mind;----MC: Show Sin Traits;x
show_sins_mind_desc;MC: Show sin traits;x

hide_sins_mind;----MC: Hide Sin Traits;x
hide_sins_mind_desc;MC: Hide sin traits;x

show_religion_mind;----MC: Show Religious Traits;x
show_religion_mind_desc;Show religious traits;x

hide_religion_mind;----MC: Hide Religious Traits;x
hide_religion_mind_desc;Hide religious traits;x

show_personality_mind;----MC: Show Personality Traits;x
show_personality_mind_desc;Show personality traits;x

hide_personality_mind;----MC: Hide Personality Traits;x
hide_personality_mind_desc;Hide personality traits;x

show_education_mind;----MC: Show Education Traits;x
show_education_mind_desc;Show education traits;x

hide_education_mind;----MC: Hide Education Traits;x
hide_education_mind_desc;Hide education traits;x

show_health_mind;----MC: Show Health Congenital Traits;x
show_health_mind_desc;Show health congenital traits;x

hide_health_mind;----MC: Hide Health Congenital Traits;x
hide_health_mind_desc;Hide health congenital traits;x

show_lifestyle_mind;----MC: Show Lifestyle Traits;x
show_lifestyle_mind_desc;Show lifestyle traits;x

hide_lifestyle_mind;----MC: Hide Lifestyle Traits;x
hide_lifestyle_mind_desc;Hide lifestyle traits;x

show_leadership_mind;----MC: Show Leadership Traits;x
show_leadership_mind_desc;Show leadership traits;x

hide_leadership_mind;----MC: Hide Leadership Traits;x
hide_leadership_mind_desc;Hide leadership traits;x

show_misc_mind;----MC: Show Misc Traits;x
show_misc_mind_desc;Show miscellaneous traits;x

hide_misc_mind;----MC: Hide Misc Traits;x
hide_misc_mind_desc;Hide miscellaneous traits;x

show_vassal_mind;----MC: Show Traits For Vassals;x
show_vassal_mind_desc;Show traits for vassals;x

hide_vassal_mind;----MC: Hide Traits For Vassals;x
hide_vassal_mind_desc;Hide traits for vassals;x

show_dynasty_mind;----MC: Show Traits For Dynasty/Spouses;x
show_dynasty_mind_desc;Show traits for dynasty/spouses;x

hide_dynasty_mind;----MC: Hide Traits For Dynasty/Spouses;x
hide_dynasty_mind_desc;Hide traits for dynasty/spouses;x

add_chaste_mind;--------MC: Add Chaste;x
add_chaste_mind_desc;Add chaste;x

remove_chaste_mind;--------MC: Remove Chaste;x
remove_chaste_mind_desc;Remove chaste;x

add_temperate_mind;--------MC: Add Temperate;x
add_temperate_mind_desc;Add temperate;x

remove_temperate_mind;--------MC: Remove Temperate;x
remove_temperate_mind_desc;Remove temperate;x

add_charitable_mind;--------MC: Add Charitable;x
add_charitable_mind_desc;Add charitable;x

remove_charitable_mind;--------MC: Remove Charitable;x
remove_charitable_mind_desc;Remove charitable;x

add_patient_mind;--------MC: Add Patient;x
add_patient_mind_desc;Add patient;x

remove_patient_mind;--------MC: Remove Patient;x
remove_patient_mind_desc;Remove patient;x

add_diligent_mind;--------MC: Add Diligent;x
add_diligent_mind_desc;Add diligent;x

remove_diligent_mind;--------MC: Remove Diligent;x
remove_diligent_mind_desc;Remove diligent;x

add_humble_mind;--------MC: Add Humble;x
add_humble_mind_desc;Add humble;x

remove_humble_mind;--------MC: Remove Humble;x
remove_humble_mind_desc;Remove humble;x

add_kind_mind;--------MC: Add Kind;x
add_kind_mind_desc;Add kind;x

remove_kind_mind;--------MC: Remove Kind;x
remove_kind_mind_desc;Remove kind;x

add_envious_mind;--------MC: Add Envious;x
add_envious_mind_desc;Add envious;x

